id,lang_abv,language,label,premise,hypothesis
7e89da4ba3,en,English,0,4) Not enough is known about how nontransportation costs vary with distance.,The ways in which distance affects nontransportation costs is a subject we don't have enough information on.
6bb2d551f1,en,English,2,i am surprised though that we do have so many that are in politics down here,I am surprised that not many of them are in politics down here.
8540c11e37,de,German,0,"Die Sozialversicherung enthält keine etablierten Programme ausschließlich oder vor allem für Bundesangestellte, solche wie: Rente und andere Altersvorsorgen.",Sozialversicherungen beinhalten keinen Plan nur für Arbeitnehmer des Bundes.
1589ccaac1,en,English,2,The draft treaty was Tommy's bait.,The treaty bait was not for Tommy.
8289cdfc7d,en,English,2,"Therefore, the number of boilermakers may actually grow more quickly than what was assumed.",The number of boil makers will decrease drastically as expected.
b277ab420e,en,English,2,Watching a girl in a white fur parka with boots,The girl is dressed all in red.
792afbd06a,ur,Urdu,1,عمارت کی سب سے زیادہ افسانوی خصوصیت گوہا ہتھیاروں سے متعلق ہے.,Building mein kafi bara weathervane hai.
43b978ef75,tr,Turkish,2,Diğerleri tüketiciyi yeterince mutlu etmiyor.,Diğerleri yeterlidir.
80001fec89,en,English,0,"As long as Assad lives, he can manage these troubles and keep an agreement with Israel.",As long as Assad doesn't die he will be able to take care of the troubles.
d999bfa2a1,en,English,1,The four Javis children? asked Severn.,Severn knows everything about the Jarvis children.
d4dd5ba80d,en,English,0,My brain refusing to command properly.,My brain was not commanding properly.
ad4b9214af,en,English,0," ""So your girl writes that your little farewell activity didn't fare so well, eh?"" he chortled.",Your farewell activity didn't go well.
126018a551,hi,Hindi,1,"उसने आश्चर्य से ऊपर देखा, और फिर उसके साथ सोचने वाली झलक ले कर ठगी करते हुए बैठ गया.",वो उसके उम्मीद से बहादुर थी।
097b4dfe2a,en,English,0,You have to walk through it).,You need to pass through it on foot.
b0c2761b43,en,English,0,"No, I exclaimed, astonished. ","""No!"" I cried out in shock. "
61f15fd66d,sw,Swahili,1,"Mnamo Mei 1, tunapaswa kuhitimisha chaguzi za upya wa uanachama kwa wachangiaji wa 1991.",Kuna nafasi kwa wanachama 1500 kutengeza upya uanachama wao.
12840a5edd,en,English,2,The TV dinner brought bad stains.,People on TV only eat breakfast and lunch.
714a367262,de,German,0,"Die Unfähigkeit zur Kommunikation war ein kritisches Element an den Absturzstellen des World Trade Centers, des Pentagon und des Somerset County, Pennsylvania, wo mehrere Behörden und mehrere Gerichtsbarkeiten reagierten.","Es war schwierig für die Leute im World Trade Center, zu kommunizieren."
37c01740c6,en,English,1,"Bauerstein had been at Styles on the fatal night, and added: ""He said twice: 'That alters everything.' And I've been thinking. ",Styles is responsible for what happened. 
3d3149ec45,en,English,2,"Long ago--or away, or whatever--there was a world called Thar?? and another called Erath.",Erath is the only world that has ever existed.
6c12f1e611,en,English,2,"Then, all the time, it was in the spill vase in Mrs. Inglethorp's bedroom, under our very noses? I cried. ","So it was hidden in another country, impossible for us to locate?"
9832b523a0,en,English,1,because i always had to do it and so i just pay someone else to do it and they do the they do the cutting they fertilize they um edge and um i think this year i'm going to have some landscaping put in,I have never developed a love for gardening. 
71bcd59dd6,en,English,1,' She gets a little obsessive about her sauce.,Her sauce is so complicated that she's obsessed with perfecting each ingredient. 
aab0894630,en,English,1,"Rather, kids today are not only little bundles of joy but also are perhaps the ultimate symbols of worldly success and status.","While kids today are symbols of success and status, and their parents are too. "
bda3f7467b,en,English,0,"Correctly implemented, this approach provides reasonable assurance that a trip has occurred.",The approach shows you the journey that took place.
7ca8ba219d,en,English,2,China's civil war sent distressing echoes to Hong Kong.,Japan fought a civil war.
e5c40e04ec,en,English,0,But it could be brain blood now.,A country that has arrived quickly to conclude its position.
c69352547f,de,German,2,Eine Postleitzahl kann von mehreren Routen verwendet werden.,ede Postleitzahl wird von nur einer Route bedient.
cc18ec8d15,en,English,2,"Well, I'm in Texas, and we have a teacher who died of AIDS.",I've never been to Texas.
05ab8a9326,en,English,2,The spirit of liberalism prevailing in Europe arrived in Spain only late.,Spain has never been liberal.
24444bd5df,bg,Bulgarian,0,"Оставено на собствените си средства, тази реакция е екзергонична и в присъствието на излишък от тримери, в сравнение с равновесното съотношение на хексамер към тримери, ще тече екзергонално към равновесие чрез синтезиране на хексамера.","Ако тази реакция е недокосната, тя в крайна сметка ще стигне до равновесие."
e390988e6f,en,English,1,"The seven grants flow from a new Nonprofit Capacity Building program at the foundation, part of a trend among philanthropists to give money to help organizations grow stronger, rather than to the program services they provide.","The grants flow from a Nonprofit Capacity Building program at the foundation, exemplifying a trend among philanthropists to give money to grow organizations and then to take them over."
9e42108ae0,en,English,1,"Or, eligibility could be restricted to those who have already been pregnant, or at least sexually active; to those over age 13, or under age 21; or some combination thereof.",The age of consent is age 21 as well.
26ef4fcb0c,en,English,1,"The complexity of the subjunctif in French does not bother him the least, for the good and simple reason that he does not try to employ it.",He doesn't try because he has no motivation.
7fa1543ed0,en,English,0,Is the White House going to be ravishing?,Will the White House change its mind?
2b2010a718,el,Greek,0,"Με την πιο εύκολη αφομοίωση με την κοινότητα Anglo, μόνο τα Προτεσταντικά σχολεία αποδέχτηκαν τα παιδιά τους Οι Εβραίοι της Ανατολικής Ευρώπης έχουν αποφοιτήσει από το πλούσιο Westmount ή έχουν μεταναστεύσει ξανά στο Τορόντο.",Οι Εβραίοι ενσωματώθηκαν ευκολότερα στην Αγγλική κοινότητα.
4acead92d8,en,English,0,"In this respect, bringing Steve Jobs back to save Apple is like bringing Gen.",Steve Jobs came back to Apple.
12127455a8,ru,Russian,0,"И насколько лучше эти?-- Ты боишься неуклюжей барбадосской сеялки? Что тебя мучает, Питер? Я никогда раньше не видел тебя испуганным. За их спинами раздался выстрел.","Никогда не видел, чтобы Питер чего-то боялся."
89467c0148,en,English,2,"The sick self-word, the ordinary word instead of the legal word, is a troublemaker and should be avoided.",Self-satisfaction is not a problem.
7b6768c074,en,English,2,or they had somebody at home that was ill that they had to tend to i mean you can't make it everybody,They did not have anything to do.
de5351757f,en,English,0,"On the contrary, in Cite de la Musiké is Musee de la Musique and a giant concert hall, Xenith.",Canine's a big concert hall.
11788e6295,en,English,2,"from generation to generation (Michiko Kakutani, the New York Times ). A few, like Pearl K. Bell in the Wall Street Journal , find a surfeit of sweetly obedient docility in the novel and say parts are perilously at the edge of sentimentality.",They complained that the novel lacked any emotions.
5aabaf3da7,bg,Bulgarian,2,Надявам се да се чуем скоро.,Никога не ми говори отново!
75cbac107c,en,English,0,"Hey, no problem, a fine policy.","No worries, a good policy."
bbd3930178,de,German,1,"Das ist Fannie Flono, sie ist aufgewachsen in Ag--Augusta, GA, und wird über einige Erinnerungen aus ihrer Kindheit sprechen.",Fannie Flono konnte heute trotz ihres vollen Terminkalenders mit uns sprechen.
5b09f9eabb,en,English,2,"The m??tro (subway) is the fastest way to move around the city, but the buses, both in the capital and the other big towns, are best for taking in the sights.",Taking the subway is a good way to experience big city life. 
97ca4170dd,bg,Bulgarian,0,"Моят герой, обаче, е Ричард Хезълтайн, председател на Overseas Investment Trust, който подаде оставка по-рано този месец в знак на несъгласие с бизнес плана, наложен от неговите началници.",Хезълтайн напусна работата си.
c5c2c039e5,en,English,0,"They were so sure of themselves that they took it for granted he had made a mistake.""",They simply assumed that he'd made a mistake.
b02c0e148c,hi,Hindi,2,यह संगीत खुदरा विक्रेताओं के लिए कोई रहस्य नहीं है ।,संगीत खुदरा विक्रेता पूरी तरह से इस बारे में अंधेरे में हैं।
604b64ca7f,en,English,1,i'm on i'm in the Plano school system and living in Richardson and there is a real dichotomy in terms of educational and economic background of the kids that are going to be attending this school,There is a huge amount of poor students and very few wealthy.
e66e2e370a,es,Spanish,1,El artículo de Stevenson muestra una falta fundamental de comprensión sobre lo que implica nuestra campaña.,"Aunque Stevenson ha viajado con nosotros en la campaña, su artículo deja en claro que no estaba prestando atención a lo que trata la campaña, ni siquiera en el nivel más básico."
716eeeea2a,en,English,0,okay and and i think we just hang up i don't think we have to do anything else,"That's it, we just hang up, right? "
5de2aa81ed,en,English,0,"They capitalized on the natural resources by using the salt to cure fish, which they exported to their home country.",They used salt to cure fish and sent it back home. 
6e108e3994,de,German,0,"selbst und ich mag einige ihrer songs, aber da ich als generelle regel stimme, würde ich auch keinen rap wählen","Ich bin kein Rap-Fan, aber ich mag einige der Songs, die sie haben."
f0e86993ca,en,English,2,"News berates computer users for picking obvious, easily cracked passwords and chastises system administrators for ignoring basic security precautions.",News outlets do not blame users or system administrators for security breaches. 
aae865505c,en,English,1,"Newsweek says that tourists and celebrities flocked to Patagonia, which was once a refuge for the escape Nazis.",The new hotel has been built in Patagonia to support tourists.
b3c705a914,en,English,0,"To their good fortune, he's proving them right.",He is showing that they were correct.
99b71d209e,en,English,1,Too bad it chose to use McIntyre instead.,McIntyre was picked to be used as the closing pitcher.
dd63e67222,en,English,0,"Oh, I see the mood here.",I don't like this style.
fc0a6ac2f5,de,German,2,"Sein offizieller Name war Flavian Amphitheater, nach dem Familiennamen seines Erbauers, dem Kaiser Vespasian.","Niemand weiß, wie das Amphitheater von Pozzuoli seinen Namen bekam."
6211b5072d,sw,Swahili,1,Alikuwa mahuttuti katika mchafuko wa Cuban na Kaiser alizipata picha na akaelekea Andrews Air Force mjini Washington.,Ni mtu mmoja tu ndiye aliyeuawa katika ajali ya mgogoro wa Cuba
8bbc9fd459,en,English,2,and the other thing is the cost it's almost prohibitive to bring it to a dealer,It's cheap to bring it to a dealer.
3c2e8a360d,en,English,1,WHOLE LIFE POLICIES - Policies that provide insurance over the insured's entire life and the proceeds (face amount) are paid only upon death of the insured.,A whole life policy is the best choice for someone who expects to live to the age of 90.
b1ad9fb1ef,en,English,0,"2466, discusses the four collections, which include certification of a minimum number of installed and operating microwave links and the maintenance of a computer-readable database.",2466 discusses four collections.
7cc9bb38f9,en,English,0,"The Women's Haven, which provides shelter and outreach to domestic-violence victims, already has a full-time attorney.",There is a full-time attorney at the Women's Haven already.
a8bcd9ccf7,en,English,0,uh high humidity,Air with increased water content.
6c2527b960,vi,Vietnamese,2,"Trong trường hợp của Mỹ 11, thông tin liên lạc bình thường cuối cùng từ máy bay lúc 8:13 sáng.",Không có bất cứ thông tin liên lạc gì từ American 11.
80f6ac92a4,en,English,2,"We need to look at the implications that these differing roles have for a range of issues, such as SES core competencies, performance standards, recruitment sources, mobility, and training and development programs.",We can completely ignore the implications of the roles on mobility.
eb04f1a8f0,en,English,0,yeah yeah yeah well because that's the way they they might seem outwardly but boy there's a lots going on in there,There is another layer to the surface.
e7ad6c38fc,en,English,2,"In this situation, the value to the mailer of the improved service would be considered along with the cost of doing the work.",No consideration will be given to the cost of doing the work in this case.
ca2f6459bd,en,English,1,Is there adequate information for judging generalizability?,Output information is way too much generalized.
212fc2ad66,en,English,1,The political cleansing that did not happen through the impeachment process leaves Clinton with a great and serious burden.,The impeachment process involved Clinton's husband as well.
df8998b7a7,en,English,0,"Well, my grandparents were always very, very loving, and my parents were, too, having a good time down there.",My grandparents are very loving couples.
d5249d1219,en,English,2,isn't it i can remember i've only been here eight years but i can remember coming to work from i used to live in Wylie and i could see downtown Dallas,I have only been here for two years.
a38659ed31,en,English,2,"Over most of the 1980s and 1990s, the U.S. was able to invest more than it saved by attracting financing from abroad.",The US could save more than it invested in the 1980's and 90's.
ceedd25541,vi,Vietnamese,0,"Nếu ai có ấn bản năm 1984, anh ta có thể sẽ phẫn nộ vì phải mua cuốn đó chứ không phải là một bản nhỏ hơn (và ít tốn kém hơn).",Phụ phí rẻ hơn sách.
73fff19324,es,Spanish,0,Les dije que era de mi hermana.,Culpé a mi hermana.
8f448b8aa5,es,Spanish,0,Ajaj había ingresado a los Estados Unidos con una visa de turista B-2 en la ciudad de Nueva York el 9 de septiembre de 1991.,Ajaj tenía una visa de turista cuando fue a los Estados Unidos.
a49ecd3734,en,English,1,"Credibility is a vital factor, and Jim Lehrer does, indeed, have it.",Everyone would believe whatever Jim Lehrer said.
952a08b1f3,en,English,2,There should be someone here who knew more of what was going on in this world than he did now.,He knew he was the only person with any idea of what was going on. 
8a4a9c16be,ru,Russian,1,"В 2003 г. эти коды были отменены; сейчас все вопросы, относящиеся к международному терроризму, получают один код -- 315.","Все вопросы, относящиеся к терроризму, получают высший приоритет."
73dce915f0,en,English,1,Notices to opposition counsel and to the court or administrative agency should be sent.,The opposing lawyer and the court expect legal advice.
e1e92f6499,el,Greek,2,"Ο Πρόεδρος Κένεντι λέει στους πιλότους: Κύριοι, βγάζετε καλές φωτογραφίες.",Ο Κένεντι δεν τους αναγνώρισε.
4c7b129507,ur,Urdu,2,ہے کیا؟ ہمارے پاس تقریباً ایک ایکڑ ہے، جی ہاں یہ عجیب ہے کیونکہ ہمارے پاس,یہ کوئی مذاق کی بات نہیں،  ہمارے پاس صرف ایک مربع فٹ زمین ہے.
ef98cc7a44,en,English,1,"Its scorecard included measures for accuracy, speed and timeliness, unit cost, customer satisfaction, and employee development and satisfaction.",Accuracy and speed are the first measurements listed on the scorecard.
247c31cc1f,el,Greek,2,"Ως εκ τούτου, ξέρω ότι πηγαίνετε στα όρια για να είστε συμπονετικοί και να φροντίζετε τους άλλους.",Ξέρω πως απλά δε νοιάζεσαι για τους ανθρώπους καθόλου.
2fa7d36591,el,Greek,1,"Το First Wives Club, μια κωμωδία εκδίκησης με  τρεις εγκαταλελειμμένες συζύγους, κέρδισε τα περισσότερα στο πρώτο της Σαββατοκύριακο από οποιαδήποτε άλλη γυναικεία ταινία στην ιστορία.","Οι ηθοποιοί και η υποκριτική, συνέβαλαν περισσότερο από την πλοκή στο ρεκόρ κινηματογραφικών πωλήσεων του First Wives Club."
ee747eb8ca,en,English,1,"In fact, the word quark in Oxford's dictionary as an act means an act of compassion, with 19th-century references pointing to frogs and crows, and a sad king.",Most people don't know the origin of the word quark and it points to the noise made by the frog.
dd883e1f46,en,English,2,"On the left of the entrance ramp is the open space once occupied by the Temple of Athena, close to which are the remains of the Pergamene library.",There are no remains visible from the ramp.
ab87e8abac,de,German,1,"ähm wie denkst du, dass die Zeitung in Colorado Springs die lokalen Interessen behandelt","Glauben Sie, dass die lokalen Zeitungen nicht daran interessiert sind, was die Bürger zu sagen haben?"
640c0172a6,en,English,1,"If you are keen to learn Israeli folk dancing, the Bicurei Ha'etim Cellar in Heftman Street will teach you.",The Bicurei Ha'etim Cellar is the only place to learn Israeli folk dancing.
c4e8713899,en,English,0,"Or Sherlock Holmes?""",Was it Sherlock Holmes?
c776773683,ru,Russian,0,"Мы настолько привыкли слышать, как американские компании жалуются на иностранную конкуренцию, что обвинения, которые выдвигает Kodak после своего поражения, воспринимаются как очередной скулеж.",Американские компании отвечают на зарубежную конкуренцию.
a14e13370f,en,English,0,"Though the two cities remained unlinked by rail, this was about to change quickly.",The two cities did not have a railway between them.
39d065817a,en,English,2,Tourist Information offices can be very helpful.,Tourist Information offices are never of any help.
101dc2c1bb,en,English,0,"More detailed implementation plans also will be necessary to address business system, processes, and resource issues.","Detailed implementation plans are necessary to address business system, processes and resources "
b645ab43a4,en,English,1,"Dubai, a modern city with easy access to major airports, travel agencies, hotels and Western business institutions, is an ideal transit point.",Dubai is the preferred transit station.
7df831c8e2,el,Greek,2,θα κάνουμε τον στόχο.,Θα πέσουμε πολύ κοντά στον στόχο.
0c338feb50,en,English,1,"First, injected cannabinoids may not mirror the effects of smoked marijuana.",Smoking marijuana gets people higher than injected them with cannabinoids.
617f1dc5f2,en,English,2,The data would be presented as required supplementary stewardship information accompanying the consolidated financial statements of the Federal Government but not in individual reports of its component units.,The data would be included in individual reports concerning the constituent units of the federal government.
8adeb402ee,en,English,1,Boca da Corrida Encumeada (moderate; 5 hours): views of Curral das Freiras and the valley of Ribeiro do Poco.,"""Views of Curral da Freiras and the valley of Ribeiro do Poco"" is chapter 5. "
162467ddeb,vi,Vietnamese,0,"Chắc chắn là FDNY không chịu trách nhiệm về việc quản lý phản ứng của Thành phố đối với trường hợp khẩn cấp, như chỉ thị của Thị trưởng đã yêu cầu.",Việc quản lý phản ứng của Thành phố đã được xử lý bởi tổ chức khác ngoài FDNY.
6595e3320d,el,Greek,2,"Ενώ οι αριθμοί είναι εντυπωσιακοί, οι υποτροφίες είναι συχνά σημαντικές για την πρόσληψη των κορυφαίων φοιτητών με οικονομικές ανάγκες.",Δεν δίνουμε υποτροφίες ή οικονομική βοήθεια στους σπουδαστές.
a7a2a9fc5e,en,English,1,"INTEREST RATE - The price charged per unit of money borrowed per year, or other unit of time, usually expressed as a percentage.",Interest rate can range from zero to fifteen percent. 
e7bc15b1b9,en,English,1,that's hilarious to to get that jack off that's right oh that's a funny story,I will enjoy telling that story.
f50208a07e,en,English,0,"Mr. Erlenborn attended undergraduate courses at the University of Notre Dame, Indiana University, the University of Illinois, and Loyala University of Chicago.",Mr. Erlenborn attended classes in at least four different universities.
00ddb7aea4,en,English,2,"So unlike people who are fortunate enough to be able to afford attorneys and can go to another lawyer, our clients are simply lost in the legal system if they cannot get access to it from us.",Our clients can afford attorneys and bouncing between lawyers.
b0ee325483,en,English,0,Finally the woman opened her eyes feebly.,She opened her eyes. 
b332076fc2,en,English,1,"Of course, the assumption that there is quantum uncertainty in the law is a rather radical idea, but it does not seem impossible.",Some people who believe that there is quantum uncertainty in the law may be radicals.
a5484dd197,en,English,0,The finest is the huge conical-roofed Tomb/Pillar of Absalom (King David's son).,The Tomb/Pillar of Absalom has a large cone-shaped roof.
d68455eccf,ur,Urdu,0,اس ہفتے حوصلہ افزائی کے  عظیم سٹار کی محبت پر کین سٹار کی رپورٹ کی پیشکش پیش کرتا ہے،جس میں صدارتی لیمو میں رومانوی کا شمار ہوگا،اوول آفس اور یہاں تک کہ لائنر بیڈوم!,پوچھنے والے کو وائٹ ہاؤس کے بارے میں علم تھا
34cd54592e,en,English,1,"When the sand builds up, the sand moves into a fixed corner, and then it expands into the edge of the table.",Sand was fed by a bulldozer.
0393073e4a,en,English,0,"Unless the mention of the Ritz was an accidental remark?""",Was mentioning the Ritz accidental?
09b8ecb23f,en,English,1,They are the four sentences you always insert in plagiarized papers to throw the professor off track.,These four sentences force professors to skim over the paragraph and inadvertently skip the plagiarized information.
a9ee3935c9,el,Greek,1,"Χτισμένο το 688-691 μ.Χ., είναι διακοσμημένο με χιλιάδες εξαίρετα, κυρίως μπλε και κίτρινα, περσικά κεραμικά πλακίδια, με Κορανικές γραφές στα ανώφλια.",Οι τοίχοι έχουν 100000 πλακίδια πάνω τους.
0477c22e6d,en,English,0,This man claims that he has been robbed en route and is stranded without money or his plane ticket in an airport somewhere in Europe or the Middle East.,He claimed he was robbed on the way and has no money or a plane ticket
3074381515,en,English,0,"It was planned in the 1820s as a symbol of Scottish national pride and designed as a mini-Parthenon, in deference to the neoclassical style popular at the time.",It was designed to be a smaller version of the Parthenon.  
fc11d4b8cb,el,Greek,1,"Ogle, είπε με μια φωνή κρύα και απότομη σαν ατσάλι, ο σταθμός σου βρίσκεται στο κατάστρωμα όπλων.",Ο Ogle είναι πάντα στο σταθμό πυροβόλων όπλων.
489847e94d,en,English,0,"Although claims data provide the most accurate information about health care use, ensuring adequate follow-up for purposes of obtaining information from patient self-report is important because many people do not report alcohol-related events to insurance compa-nies.",Alcohol related events that contribute to disease are often unreported by patients to their insurance companies. 
a235cb04e1,en,English,2,"Could you please speak to this issue, with regard to the social ramifications of gum chewing in public?","You don't have an opinion on gum chewing in public, I see."
772391afdf,en,English,1,The H-2A worker must depart the country and is subject to deportation for failing to do so.,The H-2A worker committed a crime.
e90c9dda0f,en,English,0,The researchers found expected stresses like the loss of a check in the mail and the illness of loved ones.,The stresses affected people as the researchers expected.
9f89cd56c7,bg,Bulgarian,1,"Релахо може да опише и шеговита връзка, загадъчно обръщане напред-назад, което със смях облекчава напрежението и заличава причината за моментното напрежение.",Relajo се шегува за икономиката.
8c3a69f486,en,English,2,You have to walk through it).,You can stay where you are.
836766ea05,en,English,1,"The 28 sta?­tues representing the kings of Judah and Israel have been remodeled after the drawings of Viollet-le-Duc; the original ones were pulled down during the Revolution, since they were thought to be the kings of France.",The people who pulled down the statues were executed.
ee546513c1,hi,Hindi,1,धिक्कार है! शायद आप अपने आप को समझाएंगे? वोवरस्टोन कहाँ गया है?,मैं चाहता हूं कि आप खुद ही समझाएं! मुझे पता है आप जानते हैं कि वोल्वरस्टोन कहां है।
ba01e23d88,sw,Swahili,0,"Kama mimi Msikoti wa majivuno, ninahisi kuwa sababu kubwa ya hii maanzilishi ya ukosefu wa tamaa ya kilugha inapatikana kwa majimbo ya kinyumbani.",Lugha ya kikanda inawezekana kutokana na ukosefu wa tamaa ya lugha.
648feccb3d,en,English,0,Ca'daan closed the door behind them and retied the not.,"Ca'daan closed the door as they entered, and bound it shut with rope."
b23bdc1a30,en,English,0,Small towns like Louisian lay scattered all over the Oil Fields; the main train line branched between them.,A main train line went between all the small towns.
bf6fb470ee,ru,Russian,2,"Лингвисты, которые пишут книги, по-видимому, всегда навязывают свою точку зрения, порой, мягко говоря, маловразумительную.",Большинство лингвистов пишут книги для продвижения мнений других.
b5ca4c01f3,en,English,2,i think that the people that are um have um a lower income which you automatically equate with lower education,I think higher income equals lower education.
44bad2a664,en,English,1,"Be of good cheer,","Be of good cheer, for beer time is near."
5594f92e61,en,English,2,"In reviewing this history, it's important to make some crucial distinctions.",There's no point in analyzing the past.
970707c7f5,en,English,1,"The Black River, at 71 km (44 miles), is the longest in Jamaica; it was an arterial route used to transport rum and lumber from the inland plantations.",The Black River received its name because the water in its stream is actually black.
3fa01b03f8,en,English,2,in our town of five thousand we have one that is uh local FM AM station and their news is fed from CNN too uh it's more of uh,The town radio station never relied on any national news sources.
2c9359d401,en,English,0,She wouldn't explode without the detonator.,The trigger exposes him.
